campaign,payment_country,region,tenure,metric,result
2021,au,Total,Foundation,donations,11348
2021,au,Total,Foundation,ada,186.58
2021,au,Total,Foundation,funds,2117299.75
2021,au,Total,Foundation,comment,
2021,au,Total,New,regos,45369
2021,au,Total,New,active,22743
2021,au,Total,New,apam,402.11
2021,au,Total,New,funds,9145277.55
2021,au,Total,New,comment,
2021,au,Total,Retained,regos_total_prior,84489
2021,au,Total,Retained,regos,17489
2021,au,Total,Retained,active,11471
2021,au,Total,Retained,apam,600.32
2021,au,Total,Retained,funds,6886251.96
2021,au,Total,Retained,comment,
2021,au,Total,Retained,regos_total_curnt,73142
2021,au,Total,Returned,regos,10284
2021,au,Total,Returned,active,5723
2021,au,Total,Returned,apam,453.01
2021,au,Total,Returned,funds,2592599.79
2021,au,Total,Returned,comment,
2021,au,Total,Team,donations,5630
2021,au,Total,Team,atdd,887.99
2021,au,Total,Team,funds,4999399.96
2021,au,Total,Team,comment,
2021,au,Other,Foundation,donations,11348
2021,au,Other,Foundation,ada,186.58
2021,au,Other,Foundation,funds,2117299.75
2021,au,Other,Foundation,comment,
2021,au,Other,New,regos,45369
2021,au,Other,New,active,22743
2021,au,Other,New,apam,402.11
2021,au,Other,New,funds,9145277.55
2021,au,Other,New,comment,
2021,au,Other,Retained,regos_total_prior,84489
2021,au,Other,Retained,regos,17489
2021,au,Other,Retained,active,11471
2021,au,Other,Retained,apam,600.32
2021,au,Other,Retained,funds,6886251.96
2021,au,Other,Retained,comment,
2021,au,Other,Retained,regos_total_curnt,73142
2021,au,Other,Returned,regos,10284
2021,au,Other,Returned,active,5723
2021,au,Other,Returned,apam,453.01
2021,au,Other,Returned,funds,2592599.79
2021,au,Other,Returned,comment,
2021,au,Other,Team,donations,5630
2021,au,Other,Team,atdd,887.99
2021,au,Other,Team,funds,4999399.96
2021,au,Other,Team,comment,
2021,ca,Total,Foundation,donations,13908
2021,ca,Total,Foundation,ada,147.39
2021,ca,Total,Foundation,funds,2049960.3
2021,ca,Total,Foundation,comment,
2021,ca,Total,New,regos,35489
2021,ca,Total,New,active,15441
2021,ca,Total,New,apam,357.78
2021,ca,Total,New,funds,5524420.48
2021,ca,Total,New,comment,
2021,ca,Total,Retained,regos_total_prior,67874
2021,ca,Total,Retained,regos,19800
2021,ca,Total,Retained,active,14012
2021,ca,Total,Retained,apam,728.6
2021,ca,Total,Retained,funds,10209109.58
2021,ca,Total,Retained,comment,
2021,ca,Total,Retained,regos_total_curnt,63776
2021,ca,Total,Returned,regos,8487
2021,ca,Total,Returned,active,4396
2021,ca,Total,Returned,apam,414.61
2021,ca,Total,Returned,funds,1822635.41
2021,ca,Total,Returned,comment,
2021,ca,Total,Team,donations,4365
2021,ca,Total,Team,atdd,847.96
2021,ca,Total,Team,funds,3701347.06
2021,ca,Total,Team,comment,
2021,ca,AB,Foundation,donations,1688
2021,ca,AB,Foundation,ada,90.79
2021,ca,AB,Foundation,funds,153247.99
2021,ca,AB,Foundation,comment,
2021,ca,AB,New,regos,4925
2021,ca,AB,New,active,2420
2021,ca,AB,New,apam,411.63
2021,ca,AB,New,funds,996142.25
2021,ca,AB,New,comment,
2021,ca,AB,Retained,regos_total_prior,9698
